RISP;AISP;BPM;DP;Município;Unidade Territorial
4;12;12ºBPM;78a (DP Legal) ;Niterói;Fonseca, Viçoso Jardim, Caramujo, Baldeador, Santa Bárbara, Tenente Jardim, Engenhoca, Santana e Barreto
4;12;12ºBPM;79a (DP Legal) ;Niterói;"Jurujuba, Charitas, São Francisco, Cachoeiras, Maceió, Largo da Batalha, Ititioca, Badu, Sapê, Matapaca, Vila Progresso, Muriqui, Maria
Paula e Cantagalo"
4;12;12ºBPM;81a (DP Legal) ;Niterói;Itaipú: Camboinhas, Itacoatiara, Piratininga, Cafubá, Jacaré, Rio do Ouro, Engenho do Mato, Várzea das Moças e Jardim Imbuí
4;12;12ºBPM;82a (DP Legal) ;Maricá;Maricá e Inoã
2;14;14ºBPM;33a (DP Legal);Rio de Janeiro;Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar
2;14;14ºBPM;34a (DP Legal);Rio de Janeiro;Bangu, Gericinó, Padre Miguel e Senador Camará
3;15;15ºBPM;59a (DP Legal);Duque de Caxias;Duque de Caxias (Centro)
3;15;15ºBPM;60a (DP Legal);Duque de Caxias;Campos Elyseos
3;15;15ºBPM;61a (DP Legal);Duque de Caxias;Xerém
3;15;15ºBPM;62a (DP Legal);Duque de Caxias;Imbariê
1;16;16ºBPM;22a (DP Legal);Rio de Janeiro;Brás de Pina (Parte), Olaria, Penha e Penha Circular (Parte)
1;16;16ºBPM;38a (DP Legal);Rio de Janeiro;Brás de Pina (Parte), Cordovil, Jardim América, Parada de Lucas, Penha Circular (Parte) e Vigário Geral
1;16;16ºBPM;45a (DP Legal);Rio de Janeiro;Complexo do Alemão
1;17;17ºBPM;37a (DP Legal);Rio de Janeiro;Bancários, Cacuia, Cidade Universitária, Cocotá, Freguesia, Galeão, Jardim Carioca, Jardim Guanabara, Moneró, Pitangueiras, Portuguesa, Praia da Bandeira, Ribeira, Tauá e Zumbi
2;18;18ºBPM;32a (DP Legal);Rio de Janeiro;Anil, Cidade de Deus, Curicica, Gardênia Azul, Jacarepaguá e Taquara
2;18;18ºBPM;41a (DP Legal);Rio de Janeiro;Freguesia (Jacarepaguá), Pechincha e Tanque
