Ano;Espécie;Mês de Data;Número de registros
2015;Submetralhadora;julho;3
2015;Submetralhadora;junho;3
2015;Submetralhadora;maio;2
2015;Submetralhadora;abril;9
2015;Submetralhadora;março;7
2015;Submetralhadora;fevereiro;6
2015;Submetralhadora;janeiro;6
2015;Revólver;dezembro;283
2015;Revólver;novembro;262
2015;Revólver;outubro;273
2015;Revólver;setembro;273
2015;Revólver;agosto;315
2015;Revólver;julho;325
2015;Revólver;junho;278
2015;Revólver;maio;326
2015;Revólver;abril;334
2015;Revólver;março;412
2015;Revólver;fevereiro;302
2015;Revólver;janeiro;309
2015;Pistola;dezembro;252
2015;Pistola;novembro;282
2015;Pistola;outubro;288
2015;Pistola;setembro;295
2015;Pistola;agosto;331
2015;Pistola;julho;295
2015;Pistola;junho;286
2015;Pistola;maio;299
2015;Pistola;abril;290
2015;Pistola;março;310
2015;Pistola;fevereiro;298
2015;Pistola;janeiro;336
2015;Outros;dezembro;5
2015;Outros;novembro;11
2015;Outros;outubro;5
2015;Outros;setembro;5
2015;Outros;agosto;8
2015;Outros;julho;3
2015;Outros;junho;1
2015;Outros;maio;13
2015;Outros;abril;7
2015;Outros;março;9
2015;Outros;fevereiro;10
2015;Outros;janeiro;10
2015;Metralhadora;dezembro;2
2015;Metralhadora;novembro;1
2015;Metralhadora;outubro;4
2015;Metralhadora;setembro;2
2015;Metralhadora;agosto;4
2015;Metralhadora;julho;3
2015;Metralhadora;junho;1
2015;Metralhadora;maio;4
2015;Metralhadora;abril;6
2015;Metralhadora;março;1
2015;Metralhadora;fevereiro;7
2015;Metralhadora;janeiro;1
2015;Garruchão;dezembro;3
2015;Garruchão;novembro;2
2015;Garruchão;outubro;2
2015;Garruchão;agosto;1
2015;Garruchão;julho;2
2015;Garruchão;maio;1
2015;Garruchão;abril;4
2015;Garruchão;fevereiro;1
2015;Garrucha;dezembro;9
2015;Garrucha;novembro;6
2015;Garrucha;outubro;11
2015;Garrucha;setembro;7
2015;Garrucha;agosto;7
2015;Garrucha;julho;14
2015;Garrucha;junho;6
2015;Garrucha;maio;9
2015;Garrucha;abril;14
2015;Garrucha;março;13
2015;Garrucha;fevereiro;18
2015;Garrucha;janeiro;15
2015;Fuzil;dezembro;23
2015;Fuzil;novembro;29
2015;Fuzil;outubro;21
2015;Fuzil;setembro;27
2015;Fuzil;agosto;26
2015;Fuzil;julho;15
2015;Fuzil;junho;29
2015;Fuzil;maio;22
2015;Fuzil;abril;27
2015;Fuzil;março;38
2015;Fuzil;fevereiro;38
2015;Fuzil;janeiro;49
2015;Espingarda;dezembro;70
2015;Espingarda;novembro;47
2015;Espingarda;outubro;69
2015;Espingarda;setembro;77
2015;Espingarda;agosto;95
2015;Espingarda;julho;55
2015;Espingarda;junho;75
2015;Espingarda;maio;83
2015;Espingarda;abril;46
2015;Espingarda;março;70
2015;Espingarda;fevereiro;59
2015;Espingarda;janeiro;71
2015;Carabina;dezembro;9
2015;Carabina;novembro;6
2015;Carabina;outubro;10
2015;Carabina;setembro;5
2015;Carabina;agosto;6
2015;Carabina;julho;10
2015;Carabina;junho;7
2015;Carabina;maio;13
2015;Carabina;abril;10
2015;Carabina;março;12
2015;Carabina;fevereiro;4
2015;Carabina;janeiro;9
2015;Arma de Fabricação Caseira;dezembro;6
2015;Arma de Fabricação Caseira;novembro;4
2015;Arma de Fabricação Caseira;outubro;13
2015;Arma de Fabricação Caseira;setembro;14
2015;Arma de Fabricação Caseira;agosto;17
2015;Arma de Fabricação Caseira;julho;8
2015;Arma de Fabricação Caseira;junho;17
2015;Arma de Fabricação Caseira;maio;15
