AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
25;132a- Arraial do Cabo; - ; 6; 9; 2; 2; 4; 4; 6; 2; - ; 2; 10 
8;134a- Campos; 28; 62; 54; 34; 45; 34; 26; 50; 50; 46; 40; 50 
36;135a- Itaocara; - ; 2; - ; - ; 5; - ; - ; 2; 2; - ; - ; -   
36;136a- Santo Antônio de Pádua; 5; 1; 2; 2; 3; 2; 4; 2; 7; 4; 12; 4 
36;137a- Miracema; - ; 4; 18; 7; 1; 4; 2; 4; 6; - ; 14; 2 
29;138a- Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;139a- Porciúncula; - ; - ; 3; 2; 2; 2; 2; - ; - ; - ; - ; 2 
29;140a- Natividade; - ; - ; 2; - ; - ; - ; - ; - ; - ; - ; - ; 3 
8;141a- São Fidelis; - ; - ; - ; - ; 4; - ; - ; - ; - ; 2; - ; -   
36;142a- Cambucí; - ; - ; 6; - ; - ; 1; - ; - ; - ; 4; - ; -   
29;143a- Itaperuna; 11; 2; 26; 8; 14; 3; 7; 4; 2; - ; 4; 8 
29;144a- Bom Jesus do Itabapoana; 5; - ; 2; - ; 1; 2; 4; - ; - ; 1; 2; -   
8;145a- São João da Barra; - ; 6; - ; - ; - ; - ; - ; 3; - ; 11; 4; -   
8;146a- Guarus; 30; 25; 36; 51; 55; 19; 57; 27; 52; 11; 46; 44 
8;147a- São Francisco de Itabapoana; - ; 5; - ; - ; - ; - ; - ; 2; 2; - ; - ; -   
29;148a- Italva; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
11;151a- nova Friburgo; 15; 34; 42; 38; 25; 38; 14; 24; 20; 18; 24; 31 
11;152a- Duas Barras; - ; - ; 1; - ; - ; - ; - ; - ; 2; - ; - ; -   
11;153a- Cantagalo; - ; - ; 3; 4; - ; - ; - ; 2; - ; - ; - ; -   
11;154a- Cordeiro; - ; - ; 2; 2; - ; - ; 2; - ; - ; 2; - ; -   
36;155a- São Sebastião do Alto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;156a- Santa maria Madalena; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;157a- Trajano de Morais; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
11;158a- Bom Jardim; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;159a- Cachoeira de Macacú; 4; 6; 4; - ; 4; 4; 4; 6; 2; 8; 8; -   
33;165a- Mangaratiba; 6; 3; - ; 2; - ; 6; 2; 4; 10; 4; 8; -   
33;166a- Angra dos Reis; 28; 21; 32; 19; 9; 15; 6; 16; 10; 5; 14; 8 
33;167a- Paraty; 6; 2; 4; 4; 4; 4; 1; 7; 6; 10; 8; 4 
33;168a- Rio Claro; - ; - ; - ; - ; 2; - ; - ; - ; - ; - ; - ; -   
